shd_fips,mrp_mean,mrp_sd,mrp_lower,mrp_upper,raw_mean,sample_size,abb,state,district,name,state_fips,pres_2012
5012,-0.192479352,0.190526225,-0.635602425,0.190476976,-0.672581284,9,AR,Arkansas,12,"State House District 12 (2012), Arkansas",5,0.629934738
5013,0.355928216,0.20554943,0.045604639,0.78463038,0.355407458,19,AR,Arkansas,13,"State House District 13 (2012), Arkansas",5,0.343799058
5014,0.253971681,0.19763507,-0.145440637,0.637309677,0.828674677,11,AR,Arkansas,14,"State House District 14 (2012), Arkansas",5,0.39786304
5015,0.060969203,0.185751813,-0.277497179,0.446991986,-0.214858041,20,AR,Arkansas,15,"State House District 15 (2012), Arkansas",5,0.243325918
5016,0.133724463,0.191076087,-0.268265565,0.535083163,0.278426745,11,AR,Arkansas,16,"State House District 16 (2012), Arkansas",5,0.692246274
5017,-0.33393445,0.267405269,-0.69079599,0.255228876,-0.402632281,10,AR,Arkansas,17,"State House District 17 (2012), Arkansas",5,0.874401641
5018,0.065994954,0.175898057,-0.211308404,0.464189459,0.270662048,22,AR,Arkansas,18,"State House District 18 (2012), Arkansas",5,0.397159181
5019,0.392968302,0.322933997,-0.072140916,0.936982391,1.352851346,11,AR,Arkansas,19,"State House District 19 (2012), Arkansas",5,0.298876895
5020,0.180946154,0.155632669,-0.150872744,0.447323314,0.18076532,31,AR,Arkansas,20,"State House District 20 (2012), Arkansas",5,0.229805701
5021,0.135875636,0.203040804,-0.274532034,0.570209248,0.205818019,8,AR,Arkansas,21,"State House District 21 (2012), Arkansas",5,0.239880324
5022,-0.009614319,0.15129193,-0.237903641,0.306515677,0.055753425,55,AR,Arkansas,22,"State House District 22 (2012), Arkansas",5,0.287719573
