Name,ElectionStatus,StatusOfCandidate,SpecificParty,GeneralParty,State,Year,ElectionType,Office,IncumbencyStatus,NumberOfRecords,TotalDollars
"LARIOS, ALEJANDRO",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,AZ,2018,STANDARD,HOUSE DISTRICT 030,OPEN,1,"$25,493"
"VALENTINO, LINDA M",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2012,STANDARD,SENATE DISTRICT 005,OPEN,2,"$25,483"
"BARTLETT, JASON W",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 002,INCUMBENT,2,"$25,482"
"COVELLO, RICHARD G",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 078,OPEN,2,"$25,477"
"DULEEP, ANNA",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 142,CHALLENGER,2,"$25,465"
"MURREN, MICHAEL",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 134,CHALLENGER,2,"$25,465"
"BARRETT, LAURIE J",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 076,CHALLENGER,4,"$25,461"
"GREENE JR, LEONARD C",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 105,CHALLENGER,2,"$25,450"
"RYAN, KIERAN M",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 146,CHALLENGER,1,"$25,447"
"HADDAD, GREGORY",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 054,OPEN,3,"$25,426"
"BETTS, WHIT",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 078,OPEN,2,"$25,419"
"GERAGOSIAN, JOHN C",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 025,INCUMBENT,3,"$25,410"
